event,start,end,start_local,duration_h,total_rain_in,peak_rain_10min_in,peak_rain_30min_in,peak_rain_1h_in,peak_rain_3h_in,peak_rain_6h_in,peak_rain_12h_in,peak_rain_24h_in,api_at_start,season_rain_at_start_in,peak_duty_15min_pct,peak_duty_60min_pct,peak_runs_per_15min,pump_runs,total_gallons,gal_per_cycle,peak_inflow_gpm,peak_inflow_gpm_60min,headroom_gpm,peak_bridge_stage_ft,bridge_obs_in_window,peak_ross_stage_ft,peak_ross_flow_cfs,lag_rain_to_inflow_h,lag_rain_to_bridge_h
1,2025-11-05 05:10:00+00:00,2025-11-05 05:10:00+00:00,2025-11-04 21:10,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.104,0.32,0.0,0.0,0,0,0.0,,0.0,0.0,84.0,1.27,1,4.34,0.9,,2.33
2,2025-11-05 11:50:00+00:00,2025-11-06 07:00:00+00:00,2025-11-05 03:50,19.17,1.91,0.13,0.38,0.58,1.15,1.71,1.77,1.91,0.111,0.33,19.78,14.06,9,96,2308.6,24.05,16.61,11.81,67.39,2.32,18,5.7,102.0,-0.3,0.0
3,2025-11-06 15:50:00+00:00,2025-11-06 15:50:00+00:00,2025-11-06 07:50,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.66,1.815,2.24,0.0,0.0,0,0,0.0,,0.0,0.0,84.0,1.31,2,4.37,1.2,,1.17
4,2025-11-08 15:50:00+00:00,2025-11-08 15:50:00+00:00,2025-11-08 07:50,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.48,2.25,0.0,0.0,0,0,0.0,,0.0,0.0,84.0,1.24,1,4.29,0.4,,3.67
5,2025-11-12 15:00:00+00:00,2025-11-12 18:50:00+00:00,2025-11-12 07:00,3.83,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.985,2.26,0.0,0.0,0,0,0.0,,0.0,0.0,84.0,1.27,1,4.33,0.8,,4.5
6,2025-11-13 04:00:00+00:00,2025-11-14 04:10:00+00:00,2025-11-12 20:00,24.17,2.46,0.16,0.37,0.65,1.54,2.05,2.31,2.44,0.95,2.28,28.56,20.25,12,149,3710.0,24.9,23.99,17.01,60.01,3.35,29,7.15,328.0,-0.07,0.0
7,2025-11-15 14:10:00+00:00,2025-11-15 14:10:00+00:00,2025-11-15 06:10,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.737,4.74,0.0,0.0,0,0,0.0,,0.0,0.0,84.0,1.28,1,4.32,3.4,,5.33
8,2025-11-16 05:40:00+00:00,2025-11-16 06:40:00+00:00,2025-11-15 21:40,1.0,0.04,0.01,0.02,0.03,0.04,0.04,0.04,0.05,2.567,4.75,1.67,0.83,1,2,42.0,21.0,1.4,0.7,82.6,1.29,1,4.33,3.6,-0.1,1.17
9,2025-11-16 23:40:00+00:00,2025-11-17 19:40:00+00:00,2025-11-16 15:40,20.0,1.12,0.26,0.4,0.53,0.84,0.91,1.04,1.12,2.41,4.79,40.67,15.19,11,67,1745.8,26.06,34.16,12.76,49.84,3.34,27,6.73,254.0,0.05,0.5
10,2025-11-18 11:00:00+00:00,2025-11-18 11:00:00+00:00,2025-11-18 03:00,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.1,3.069,5.92,0.0,0.39,0,0,0.0,,0.0,0.33,84.0,1.4,1,4.45,6.5,,8.5
