event,start,rain,peak_ft,highest,lead_h,watch_lead_h,prepare_lead_h,act_lead_h
23,2026-01-02 13:40,5.54,7.38,act,63.3,98.5,98.5,63.3
27,2026-02-14 20:30,3.76,6.9,act,1.3,24.0,5.3,1.3
18,2025-12-24 16:40,1.15,5.29,act,24.3,34.3,3.0,24.3
16,2025-12-20 20:40,3.3,4.81,prepare,24.3,48.3,24.3,
22,2025-12-31 10:00,3.23,4.46,prepare,7.3,7.3,7.3,
29,2026-02-18 08:30,1.45,3.95,prepare,45.2,,45.2,
28,2026-02-17 06:30,0.95,3.67,act,3.7,27.7,27.7,3.7
6,2025-11-12 20:00,2.46,3.35,act,0.3,30.8,0.3,0.3
17,2025-12-23 08:20,1.21,3.34,act,0.3,42.7,,0.3
9,2025-11-16 15:40,1.12,3.34,act,0.7,24.2,24.2,0.7
19,2025-12-25 11:10,0.66,3.13,act,16.2,31.3,18.5,16.2
37,2026-04-10 20:10,1.3,2.72,none,,,,
26,2026-02-10 14:10,1.36,2.34,none,,,,
2,2025-11-05 03:50,1.91,2.32,none,,,,
39,2026-04-20 08:30,1.84,2.28,none,,,,
