ts_utc,rain_rate_inhr,rain_1h_in,rain_24h_in,rain_event_in,creek_stage_ft,creek_flow_cfs,nwps_stage_ft,bridge_stage_ft,sump_level,sump_runtime_min,sump_cycles,sump_duty_pct,qpf_24h_in,qpf_72h_in,tier
2026-09-02T00:10:49+00:00,0,,0,0,4.22,0.16,4.22,1.23,,,,,0,0.08,quiet
2026-09-02T00:27:24+00:00,0,0.0,0,0,4.22,0.16,4.22,1.23,,,,,0,0.08,quiet
2026-09-02T00:51:17+00:00,0,0.0,0,0,4.22,0.16,4.22,1.23,,,,,0.02,0.09,quiet
2026-09-02T00:52:15+00:00,0,0.0,0,0,4.22,0.16,4.22,1.23,,,,,0.02,0.09,quiet
2026-09-02T13:58:58+00:00,0,,0,0,4.22,0.16,4.22,1.23,,,,,0.05,0.18,quiet
2026-09-02T14:19:46+00:00,0,0.0,0,0,4.22,0.16,4.22,1.23,,,,,0.05,0.18,quiet
2026-09-02T14:51:13+00:00,0,0.0,0,0,4.22,0.16,4.22,1.23,,,,,0.05,0.16,quiet
2026-09-02T19:29:47+00:00,0,,0.01,0,4.22,0.16,4.22,1.23,,,,,0.12,0.12,quiet
2026-09-02T19:36:57+00:00,0,0.0,0.01,0,4.22,0.16,4.22,1.23,,,,,0.12,0.12,quiet
2026-09-03T15:58:56+00:00,0,,0,0,4.24,0.31,4.24,1.24,,,,,0,0,quiet
2026-09-03T18:40:10+00:00,0,,0,0,4.24,0.31,4.24,1.24,,,,,0,0,quiet
2026-09-03T19:07:17+00:00,0,0.0,0,0,4.24,0.31,4.24,1.24,,,,,0,0,quiet
2026-09-03T21:42:57+00:00,0,,0,0,4.24,0.31,4.24,1.24,,,,,0,0,quiet
2026-09-03T23:32:41+00:00,0.05,,0.01,0.01,4.25,0.41,4.25,1.24,,,,,0,0,quiet
2026-09-04T01:22:15+00:00,0.02,,0.12,0.12,4.25,0.41,4.25,1.24,,,,,0,0,quiet
